RecNo|Submod|Pos|MaxPar|NotP|Runout|NotR|NomT|NotT|MinMach|NotM|Discard|NotD|Finish|NotF
87021|W/ Ceramic Disc|F|.0007||.001|052|1.339|||271||216|NS|
87022|W/O Ceramic Disc|R|.0007||.001|052|.787||.732||.709||NS|
87065||R|.0007||.001|052|1.102||1.047||1.024|||
87066|Carrera S|R|.0007||.001|052|1.102||1.047||1.024||NS|
87067|Carrera S|F|.0007||.001|052|1.339||1.283||1.260||NS|
87068||F|.0007||.001|052|1.102||1.047||1.024|||
87069|W/ Ceramic Disc|F|.0007||.001|052|1.339||1.283||1.260|||
87070|W/ Ceramic Disc|R|.0007||.001|052|1.102||1.047||1.024|||
87125|5.0L W/ Supercharge|F|NS||.003|107|1.42||NS||1.34||NS|
87126|W/ Supercharged|R|NS||.004|107|1.02||NS||0.94||NS|
87127|All Ex. Supercharged|R|NS||.004|107|0.79||NS||0.72||NS|
87128|W/ 3.0L|F|NS||.003|107|1.18||NS||1.14||NS|
87129|5.0L W/O Supercharge|F|NS||.003|107|1.26||NS||1.18||NS|
